last update,cowls,,robes,,sandals,,hoods,,jackets,,shoes,,`,,armors,,boots,
2025-02-07 13:18:31,item,price,item,price,item,price,item,price,item,price,item,price,item,price,item,price,item,price
,scholar cowl_4_0,2457,scholar robe_4_0,5068,scholar sandals_4_0,4641,mercenary hood_4_0,2821,mercenary jacket_4_0,4344,mercenary shoes_4_0,2912,soldier helmet_4_0,2730,soldier armor_4_0,4163,soldier boots_4_0,910
,scholar cowl_4_1,2896,scholar robe_4_1,4344,scholar sandals_4_1,5792,mercenary hood_4_1,4887,mercenary jacket_4_1,7240,mercenary shoes_4_1,4344,soldier helmet_4_1,3258,soldier armor_4_1,8688,soldier boots_4_1,5430
,scholar cowl_4_2,9412,scholar robe_4_2,23892,scholar sandals_4_2,9774,mercenary hood_4_2,10136,mercenary jacket_4_2,23168,mercenary shoes_4_2,7602,soldier helmet_4_2,10860,soldier armor_4_2,31856,soldier boots_4_2,9774
,scholar cowl_5_0,5611,scholar robe_5_0,16652,scholar sandals_5_0,8869,mercenary hood_5_0,5792,mercenary jacket_5_0,17014,mercenary shoes_5_0,3439,soldier helmet_5_0,5792,soldier armor_5_0,14480,soldier boots_5_0,7240
,scholar cowl_5_1,7240,scholar robe_5_1,14480,scholar sandals_5_1,16290,mercenary hood_5_1,9050,mercenary jacket_5_1,28236,mercenary shoes_5_1,12670,soldier helmet_5_1,12308,soldier armor_5_1,23892,soldier boots_5_1,10136
,scholar cowl_5_2,39096,scholar robe_5_2,56511,scholar sandals_5_2,54300,mercenary hood_5_2,49956,mercenary jacket_5_2,69552,mercenary shoes_5_2,66608,soldier helmet_5_2,49956,soldier armor_5_2,89838,soldier boots_5_2,48508
,scholar cowl_6_0,17738,scholar robe_6_0,42716,scholar sandals_6_0,14842,mercenary hood_6_0,30770,mercenary jacket_6_0,59368,mercenary shoes_6_0,32942,soldier helmet_6_0,21720,soldier armor_6_0,46336,soldier boots_6_0,22082
,scholar cowl_6_1,26064,scholar robe_6_1,52164,scholar sandals_6_1,58644,mercenary hood_6_1,52128,mercenary jacket_6_1,108675,mercenary shoes_6_1,58644,soldier helmet_6_1,39820,soldier armor_6_1,98532,soldier boots_6_1,44164
,scholar cowl_6_2,120267,scholar robe_6_2,243348,scholar sandals_6_2,194166,mercenary hood_6_2,118818,mercenary jacket_6_2,275215,mercenary shoes_6_2,139104,soldier helmet_6_2,133308,soldier armor_6_2,307082,soldier boots_6_2,159390
,scholar cowl_7_0,48508,scholar robe_7_0,127512,scholar sandals_7_0,89052,mercenary hood_7_0,44888,mercenary jacket_7_0,159390,mercenary shoes_7_0,66608,soldier helmet_7_0,59368,soldier armor_7_0,97083,soldier boots_7_0,65160
,scholar cowl_7_1,130410,scholar robe_7_1,150644,scholar sandals_7_1,179676,mercenary hood_7_1,157941,mercenary jacket_7_1,382404,mercenary shoes_7_1,170982,soldier helmet_7_1,142002,soldier armor_7_1,281009,soldier boots_7_1,160839
,scholar cowl_7_2,141953,scholar robe_7_2,701074,scholar sandals_7_2,399786,mercenary hood_7_2,373713,mercenary jacket_7_2,312876,mercenary shoes_7_2,417168,soldier helmet_7_2,382404,soldier armor_7_2,822748,soldier boots_7_2,451932
